featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX1250555	26.17	17.17	28.025	33.055	36.96	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	70256	14057	4694	1083513	16596717	78109	18840	16485	460955	32836	9298	14893	6341	748	275	348	111	35	15	1689	33	11	1	0	9	14	0	102	23	62	50	100	1	25	0	0	0	0	2810	5189377	56422194	0	33.9420011387717	26.6849025919128	56422194	0	33.3571168997788	26.0398179141337	61621	53663947	16597448	0	20673	10629745	0	0.198159	116909834	98889326	35562867	722592	9098087	48871866	77249	273451	457741	210780	765672	1120510	56422194	23205971	41.1	0.9	NA	NA	56422194	23111357	41	1.1	241376	0.43	56180818	245	50539631	89.96	244.26	12602467	12507896	12304986	189770	13410	94301	0.65	0.02	1.4	0.01	1.6	3185937	5.67	32299	0.06	0	0	2364688	4.21	58263	0.1	0	0	FALSE	Healthy
SRX1250556	9.269	41.009	10.018	20.581	25.291	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	56185	11607	1659	436895	6919329	40225	25527	9567	232052	13586	6148	26711	1152	86	230	598	83	15	8	649	11	2	0	0	2	6	0	66	6	46	27	37	0	29	0	0	0	0	5171	20328323	47128264	0	33.678824919161	64.5848263058073	47128264	0	33.1117185644691	65.1620224843949	36575	44518697	58520270	0	19092	30256475	0	0.679571	15041966	35319623	19268760	392152	1549284	11604551	39657	115731	188653	91348	608327	790219	47128264	18985916	40.3	1	NA	NA	47128264	18929348	40.2	1.3	273116	0.58	46855148	243	35266172	75.27	242.72	9844497	9789751	9718670	75476	6127	44224	0.74	0.04	1.09	0	1.5	9289100	19.83	114416	0.24	0	0	2070368	4.42	115092	0.25	0	0	FALSE	Healthy
SRX1250562	30.211	16.336	32.167	35.701	39.762	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	61514	13962	4043	851366	17031140	63668	15498	13377	248802	28118	8817	9511	4487	627	329	410	39	20	11	2454	26	20	1	4	6	8	0	70	23	80	32	224	1	20	3	0	0	0	3323	4855023	54057756	0	32.5949444146368	29.0877651868988	54057756	0	32.6721929411942	30.0421490655127	261406	48082989	12853928	0	100424	8853288	0	0.184667	113996797	89148131	33865189	627527	9800297	40341579	73113	257973	435288	207989	760817	1122207	54057756	19000686	35.1	8.3	NA	NA	54057756	19009220	35.2	8.8	4120811	7.62	49936945	194	45717321	91.55	193.75	10271793	10214340	10017570	196540	10595	47088	0.21	0.02	1.38	0.01	1.43	2627074	5.26	28743	0.06	0	0	1501674	3.01	62133	0.12	0	0	FALSE	Healthy
SRX1250557	24.571	18.1	26.355	28.245	31.052	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	61514	14454	3709	887233	12137501	69428	7857	13112	146909	27942	8851	6801	2430	676	317	413	74	24	15	2237	37	11	0	0	8	7	0	53	23	57	35	96	1	37	0	1	0	0	3621	5791848	45245692	0	33.7726028369729	25.7997245390742	45245692	0	33.2745471104741	25.2671803520522	56622	42843087	12785053	0	16382	8906625	0	0.207943	88203264	77572812	27449497	548106	6021954	39497136	68201	242186	404760	173192	681780	988452	45245692	18521641	40.9	1	NA	NA	45245692	18372315	40.6	1.3	232024	0.51	45013668	244	40563379	90.11	244.05	9231299	9171348	9083342	81508	8922	57527	0.66	0.02	1.31	0.01	1.57	2336330	5.19	24312	0.05	0	0	2031233	4.51	58414	0.13	0	0	FALSE	Healthy
SRX1250560	30.26	16.376	32.333	37.445	42.648	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	73722	14161	5517	1096529	21619733	68563	40471	15163	471916	29990	10109	18466	6737	676	320	376	84	32	15	3884	60	58	1	2	10	3	0	192	62	108	30	211	0	34	3	0	1	0	2627	5862749	65167698	0	32.7397761541308	31.2890412497233	65167698	0	32.8675342038321	32.3316403070078	271476	58572747	21616539	0	116124	11298233	0	0.193435	131601378	108793835	44569786	876243	12218876	46646850	80686	258584	419744	217983	790475	1129559	65167698	22868697	35.1	7.8	NA	NA	65167698	22939512	35.2	8.2	4553071	6.99	60614627	193	55078097	90.87	193.84	13941951	13859600	13725055	123448	17146	76302	0.22	0.02	1.35	0.01	1.44	3766126	6.21	44635	0.07	0	0	1649586	2.72	76183	0.13	0	0	FALSE	Healthy
SRX1250559	17.667	29.772	18.939	23.799	26.753	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	66620	14107	3704	896135	12804941	65511	15582	14593	240638	28723	10286	14261	3117	532	385	406	64	21	9	955	36	15	1	4	15	9	0	79	24	23	35	24	0	24	0	0	0	0	5487	13915308	57798717	0	33.1060181145543	23.6042932327604	57798717	0	32.4940081109413	32.4439308278093	72247	53724470	33285862	0	28029	20946444	0	0.389885	49494693	75269534	28123576	561185	6226956	36546573	61490	205752	338376	179264	828976	1129970	57798717	22958085	39.7	1.3	NA	NA	57798717	22983971	39.8	1.6	428947	0.74	57369770	244	48316728	84.22	243.72	10812306	10751215	10669877	81669	7355	53405	0.72	0.03	1.15	0.01	1.46	5479989	9.55	83592	0.15	0	0	3387523	5.9	101938	0.18	0	0	FALSE	Healthy
SRX1250565	28.713	15.241	30.778	33.119	36.717	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	77380	15347	5207	1123677	18214826	82401	17081	17381	325607	35603	11432	9579	4630	744	380	342	92	28	15	2065	60	21	3	0	11	14	0	58	18	52	33	69	1	46	0	0	2	0	1665	4770327	57067356	0	33.9417122811858	24.644281746713	57067356	0	33.3881846567414	24.3687134519479	64085	54414304	14838955	0	20762	9414157	0	0.173098	138542958	104206685	39531837	803362	9794194	49341879	83785	280910	465305	225998	850040	1218195	57067356	23251183	40.7	0.9	NA	NA	57067356	23186229	40.6	1.1	235386	0.41	56831970	245	51565754	90.73	244.3	13829057	13745450	13420882	301368	13664	93143	0.65	0.02	1.41	0.01	1.56	2912635	5.12	23488	0.04	0	0	2273755	4	56338	0.1	0	0	FALSE	Neurodegenerative
SRX1250563	31.943	13.848	34.183	35.188	38.375	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	60290	19329	4288	904501	15990719	65300	12627	13232	154951	27870	9447	6578	3350	711	327	378	54	33	13	772	23	15	1	0	11	9	0	77	22	74	23	77	0	15	1	0	0	0	2689	3835608	47073246	0	33.9885235660188	23.2354986678235	47073246	0	33.4284376947364	22.8783638680521	53306	44841886	8135810	0	16857	6764079	0	0.150941	133281000	88491768	33910517	649759	9351396	40536623	68556	239972	398865	189505	677498	987541	47073246	19443848	41.3	0.9	NA	NA	47073246	19428044	41.3	1.1	200985	0.43	46872261	245	43066395	91.88	244.3	11734015	11672582	11505499	162143	12347	54026	0.68	0.02	1.43	0.01	1.57	1828797	3.9	17749	0.04	0	0	1915154	4.09	44166	0.09	0	0	FALSE	Neurodegenerative
SRX1250567	20.049	20.689	21.534	24.486	27.456	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Neurodegenarative disease	Alzheimer’s disease	0	81801	18690	4279	1402566	14813100	91888	6790	19913	310835	38962	13547	8353	2324	812	603	599	134	45	16	4658	45	19	1	0	16	8	0	68	37	59	32	52	1	55	1	0	0	0	7720	7887316	60069811	0	33.1098169927653	15.4803763652254	60069811	0	32.610007412875	24.3380971114165	80222	56293200	32169596	0	29213	14964151	0	0.265895	86144194	93867388	32960276	752328	6739682	48210001	101639	330297	533778	247329	1032441	1436559	60069811	23228258	38.7	1.2	NA	NA	60069811	23195991	38.6	1.5	390460	0.65	59679351	244	51334359	86.02	244.19	11709654	11647994	11391104	250935	8891	58724	0.72	0.02	1.26	0.01	1.67	5039063	8.44	54518	0.09	0	0	3177514	5.32	73897	0.12	0	0	FALSE	Neurodegenerative
SRX1250561	29.246	16.856	31.205	37.863	44.09	SRP034831	GSE53697	Brain	Dorsolateral prefrontal cortex	Healthy	Healthy	0	85494	18168	5673	1242586	25429857	83409	35535	17432	565135	37105	12696	19334	8426	738	408	450	85	28	24	2565	36	48	0	1	18	10	0	174	36	93	66	301	1	17	1	0	1	0	3760	6807449	78467819	0	31.8037020119038	31.397078148245	78467819	0	31.8344825411804	33.6373650894007	373297	69207384	27968144	0	167064	13930149	0	0.201944	147977894	126797114	50814279	985426	14621291	54990259	99106	324318	526968	253605	910974	1316766	78467819	27251235	34.7	9.5	NA	NA	78467819	27306949	34.8	10.1	6760848	8.62	71706971	192	64756344	90.31	192.79	16099457	16020980	15726218	273996	16880	82363	0.25	0.02	1.39	0.01	1.45	4824337	6.73	55473	0.08	0	0	1971436	2.75	99381	0.14	0	0	FALSE	Healthy
