ID	KO
100293534	K03989
1026	K06625
10318	K23829
10461	K05117
114548	K12800
1240	K04245
1493	K06538
1535	K08009
1536	K21421
1540	K08601
1647	K04402
1773	K11994
1843	K21278
23166	K19020
2358	K04173
240	K00461
246	K00460
2621	K05464
2771	K04630
29108	K12799
30009	K10166
3162	K00510
325	K23267
326	K10603
3459	K05132
3460	K05133
348	K04524
355	K04390
3551	K07209
3557	K05481
356	K04389
3586	K05443
3587	K05134
3588	K05135
3606	K05482
3635	K03084
3683	K05718
3684	K06461
3689	K06464
4035	K04550
4067	K05854
4210	K12803
4240	K17253
4688	K08010
4773	K17332
4775	K17333
4780	K05638
4790	K02580
4792	K04734
50943	K10163
5175	K06471
5243	K05658
5321	K16342
558	K05115
5728	K01110
5777	K05697
5971	K09253
602	K09258
6404	K06544
64127	K10165
653361	K08011
6556	K12347
6648	K04564
6772	K11220
695	K07370
7040	K13375
710	K04001
712	K03986
7128	K11859
713	K03987
7132	K03158
714	K03988
717	K01332
720	K03989
721	K03989
721	K03989
7454	K05747
7538	K15308
834	K01370
841	K04398
8517	K07210
8651	K04694
867	K04707
9021	K04696
9051	K12804
91937	K26936
948	K06259
