Adipose Subcutaneous	Adipose Visceral Omentum	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex BA24	Brain Caudate basal ganglia	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex BA9	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens basal ganglia	Brain Putamen basal ganglia	Brain Spinal cord cervical c-1	Brain Substantia nigra	Breast Mammary Tissue	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
2-Oxocarboxylic acid metabolism	37.4755211016282	35.4005039070486	48.0354980794491	31.2793170703125	32.7903689948694	34.9779906263567	41.4365329261364	21.6408572462017	29.2942113787554	24.9743936197917	43.6678882050993	43.1562016282895	33.9329575289352	37.9863985966543	20.4569292745098	24.8085950656615	27.465929122807	22.3128694709646	22.8693729825368	23.2026910826503	35.9386436119893	35.7716503645833	36.6787130434783	39.2178468794749	40.8689774425887	37.9717780645161	41.439275311991	42.8179763346702	37.2809554418103	47.7707665496204	63.8727662327157	43.198260609976	52.2499408522727	91.1530417127863	33.1096019495033	36.4580461015193	80.4768603545232	37.2605626837687	34.3239258694948	18.5280613570442	31.6021551767173	37.8651421531472	35.2863135339862	35.8765597061505	38.4012744972826	29.9431682897112	40.2768542790233	36.1379067028985	39.7134846833882	36.9637824346405	36.3623532555147	14.0671043956258
ABC transporters	14.3055662888266	12.9098211978043	17.5988219563089	10.7810591403013	11.5539547985075	8.62589383662968	13.8722561154401	6.48879944874156	6.40011159370529	7.46497926	17.3061944805455	20.4640327527151	9.75112496954732	8.73615738620405	8.78079312941177	8.3111221054907	6.98935784951267	7.18333746369204	19.1971235381264	9.93538515968427	14.0032269200173	15.8214585185185	14.2838677487923	10.6814753906126	11.6371910201809	11.5539390592776	14.4779684002895	10.8962633198653	14.695854835249	6.17299428006749	4.23808250245821	42.3418961111111	44.6432635555555	17.2011623842239	19.1203815721118	83.0196135702885	7.30802127492529	28.2245274182421	15.3555628762234	16.3431188275015	16.012851512957	13.4504892592593	17.8060591995221	17.9160092083702	14.0566885346216	15.122867032491	9.6962796003276	11.1158125711218	16.3806925302144	14.2619575395788	18.4819930784314	9.02855970554864
AGE-RAGE signaling pathway in diabetic complications	79.7917664211485	84.5164217091993	28.5388380115254	145.730835273517	124.693871991418	104.86221211563	64.0141011142857	15.4409159127072	16.8492606283262	16.334316525	26.9734419407942	25.4299133890977	17.9697663859259	19.9921668903346	14.7398852007843	15.7408776735409	16.0356433529825	14.3725433401575	19.0462123867647	15.6721083622951	66.2409503928016	92.0189431166667	111.935405243478	62.3909700408115	46.4146898148225	57.0486436158809	35.7633847431596	55.1087202228164	85.6482289827586	35.7163871438178	19.0284994446903	23.3848622375	31.5547956636364	23.6345437469466	107.630484683444	31.1105146674033	19.9089133721271	60.7079868134328	72.2881480119171	13.273163558011	34.8879354003195	49.1295941925532	52.9689548980031	57.7000644200265	42.2434500275362	44.1206100306859	39.461787412285	22.2054657664251	60.5027287763158	85.2772036405229	72.4705987058824	33.040044033873
AMPK signaling pathway	78.1083247213927	70.6540779776705	37.0904803288976	43.6486665115913	46.141445	45.5212401212759	44.1360674970484	25.8087536906991	28.0921626939311	23.7897665719008	45.8374189476982	45.8912529857702	31.1416975396388	33.6235171443055	25.0239274357479	26.8378352143294	25.6343005367551	21.8748533376716	41.0065150761627	26.8851442297792	65.345394919928	42.9268356714876	49.4165721092346	43.4759840641827	35.4301886480098	42.5111909962472	39.5348220697499	42.48891372166	46.3184441721288	24.6883420930066	20.8808748873693	25.56804945089	32.9801219609316	36.8517347148445	42.7429057609053	36.9822319848409	48.4941765276122	48.6413784243247	59.0176831075237	55.6720447712433	40.4383061814485	41.5261712918352	41.6222507613208	43.4960297396804	37.1564286485407	35.5732269555748	33.2509559908218	37.4658188323951	46.6271676217921	51.6236183346837	43.3116317831794	29.4492008119346
ATP-dependent chromatin remodeling	60.7335581971079	57.7256776155739	41.1989612197595	107.647498135955	98.0371858569333	120.511559973283	75.7586253579753	25.3858389984417	29.0799308044459	26.7291702897436	46.0094631349317	43.4855110844419	31.3578171392846	35.4539871022781	26.0525775391319	29.5152412501247	29.8258043754686	24.140433499899	39.9254883794201	27.2524858815562	57.9950374344009	71.2884040135328	82.0104192827945	96.9970776072456	67.822247989401	85.7362964914848	65.0861833794092	90.7165513478678	90.09215452402	24.9916396278992	15.0879488845397	30.2136413658777	41.5706382439782	19.5639968340184	76.8240430682912	45.2382858823252	19.9361594030677	70.0477598601862	82.3718497210044	20.2122366149596	48.2871898143142	64.1257489376856	51.2309270824635	52.9745768798885	58.9309600805153	65.7255013702984	53.9235259064659	56.1616493604195	61.9453819133303	104.44630734931	71.4565336440422	60.2285175514896
Acute myeloid leukemia	38.9812578119905	39.8205611030029	23.531857284594	35.4793510248545	34.7448794052127	33.5531025513532	31.7880847586742	13.5240515865424	15.1118089654731	13.678784321393	25.0887680645509	24.3508209881046	16.093352787728	17.953785519059	13.3791755083406	14.4254180991928	14.789010792354	11.8510463756023	16.7979620793093	13.1571267816654	37.190469117835	39.5688288370647	33.9635211940299	28.7361827186264	26.0414043068582	28.3018460075553	45.9221281921824	28.7173211017107	38.1650654246011	15.5123956110985	10.7482825657113	15.9272340298507	20.8418729308005	18.7500671784209	44.6429291672433	31.1257281075287	18.7851829339853	38.7374428220094	34.1294808065888	11.751661565515	24.2961929488341	30.3969833973748	50.1541279102185	52.3564271867453	29.5400621032519	46.5692244291179	22.3305433532583	21.9847297717932	33.6442170179803	37.3300504204468	42.3805543854258	64.671409118232
Adherens junction	107.131365500587	96.0937118880402	56.1446511857117	216.765135897348	195.311642556572	268.926877980331	149.291922054182	30.9155969916236	34.4097646139647	32.7082830566308	40.1496204545631	40.1830811763279	37.5230795141378	41.7300798025343	32.0766074674257	32.826149684532	35.6130740826259	29.3488820468208	49.811228462471	33.6646196627299	95.7431775402703	105.773140273297	120.445861393174	204.200192828291	123.083509460345	181.600918061048	103.037943030367	201.915891937209	143.122536318131	139.240159370933	148.022613964697	46.1919438554591	60.4372034506354	25.4579417852746	126.222651171758	69.7715035489812	170.013732843547	112.116823235757	100.889533062009	26.6653473866809	51.1887382517435	104.553565421338	80.2338460748559	86.3895685717749	95.1783145083372	93.5700524164435	91.0701906110803	53.1429260222846	88.8827140239263	168.723786281538	111.931841114485	104.390716606275
Adipocytokine signaling pathway	67.9630547903161	73.382771553176	24.6266720237288	33.9238784491525	37.0542161385927	33.8991149925574	32.7794011799629	12.8115607576953	13.9015922219497	15.4340568485714	27.2459038824136	28.0096874973147	16.273006715873	17.3578024466277	12.6514304212885	16.2827841695386	14.1157335809524	14.522244511811	19.9474496120448	14.6097014098361	56.2824101511951	31.2979920654762	31.569956689441	30.8505922366178	27.3384899731584	31.5093928011344	25.8224216642624	31.7636540720652	39.1813160985222	18.701382289123	15.8028185407712	22.2182234615385	26.5475195714286	37.2792709002181	50.4947398632923	24.1698770552486	30.6934571774363	52.9025038347548	31.9618275381199	9.79619096132597	624.244829806938	33.3412295466059	36.3517244165021	35.79113488651	32.3425568930297	38.2826415177927	23.7587734794665	28.0125690003451	34.7123086888053	32.8610866788049	34.4058024773109	54.4545057014766
Adrenergic signaling in cardiomyocytes	35.5052213583615	31.8492554568685	25.511359427691	80.7948812213845	73.5219054312851	94.7828328701111	55.7885760608872	36.7427204541867	47.4564082261301	37.411508528355	62.3826006212199	57.5138931520359	49.6911622717653	61.0570704036113	36.7128695373058	35.1750675286775	41.7706064634313	32.1639294209531	28.9498936586453	28.8542360460578	32.3230705672343	37.9930232440476	46.3518610869565	72.0116572773766	43.9960042529078	74.979632172666	28.3915004513727	81.6991645004283	51.3776954120018	174.451404970983	247.546831282468	19.9049422127872	27.5106971664699	15.2464208791018	38.7470382063301	33.9148650617063	235.989106560029	41.7643443472572	37.1526593624251	10.3205977281696	34.7331155835857	44.0177440070922	47.9117747985118	56.3065867938958	36.6419452227241	28.8317436201885	34.1956909200996	27.2883023944413	36.4347596179844	59.0129709769968	39.727442460275	21.197362529799
African trypanosomiasis	25.4051878972144	60.164959325194	13.4184385847458	38.5091736540725	39.0529242775705	26.7108526382859	19.3538567388167	16.2031334392265	15.2244645350501	17.6694881925926	13.8992294143602	15.9208771867168	16.2217815823045	17.1598679801735	16.9772862102397	16.0197775313446	16.9865901452242	16.8982883103675	23.9019710076253	23.6455990042502	25.5727459446606	27.7800224652778	15.8541194806763	18.2847678149032	19.0506337276734	30.5831927502068	20.5764077718965	24.1048049796989	45.8626430268199	954.060540316341	32.9390968362832	42.7726807799145	56.0614664141414	292.648476645462	140.038822465508	11.0238278084715	6.72105483156751	23.9357823557214	19.2933772985032	4.0354619490485	30.1819917500887	18.9634838898739	15.3151936759686	15.3415930898173	36.5848673268921	235.349397343562	13.9961339441714	30.7593517337627	47.5179692328622	23.632689912854	34.1083243218954	9461.0636947153
