tissue	ontologyId	gencodeId	geneSymbol	mean_tpm	freq	freq_log
Brain Amygdala	UBERON:0001876	ENSG00000173372.17	C1QA	35.0688483425414	0.0060105469253433	-0.0443475463174142
Brain Cortex	UBERON:0001870	ENSG00000173372.17	C1QA	16.1856728518519	0.00277410724310259	-0.0235626031438306
Kidney Medulla	UBERON:0001293	ENSG00000173372.17	C1QA	27.7758954545455	0.0047605875560063	-0.0367262412789443
Uterus	UBERON:0000995	ENSG00000173372.17	C1QA	58.5152635947712	0.010029092893209	-0.0665898177281398
Skin Not Sun Exposed Suprapubic	UBERON:0036149	ENSG00000173372.17	C1QA	24.9724654070661	0.00428009992528329	-0.0336764245948639
Whole Blood	UBERON:0013756	ENSG00000173372.17	C1QA	67.0641549564134	0.0114943110317379	-0.0740571125964755
Kidney Cortex	UBERON:0001225	ENSG00000173372.17	C1QA	55.9997735576923	0.00959795609737196	-0.0643356474829207
Brain Frontal Cortex BA9	UBERON:0009834	ENSG00000173372.17	C1QA	24.0541814498141	0.00412271269768058	-0.0326609147824359
Vagina	UBERON:0000996	ENSG00000173372.17	C1QA	49.0297433529412	0.00840334333998933	-0.0579395469067789
Prostate	UBERON:0002367	ENSG00000173372.17	C1QA	75.9455497517731	0.0130165178535471	-0.081529124050363
Esophagus Mucosa	UBERON:0006920	ENSG00000173372.17	C1QA	29.4330542508143	0.00504461258615355	-0.0384956444979672
Liver	UBERON:0001114	ENSG00000173372.17	C1QA	42.8244980916031	0.00733980918961654	-0.0520395534176886
Pituitary	UBERON:0000007	ENSG00000173372.17	C1QA	73.9452741214057	0.0126736850800694	-0.0798698183342864
Thyroid	UBERON:0002046	ENSG00000173372.17	C1QA	64.9014877192982	0.0111236455115698	-0.0721949790433499
Esophagus Muscularis	UBERON:0004648	ENSG00000173372.17	C1QA	97.8697264705882	0.0167741631483343	-0.0989275628492795
Brain Spinal cord cervical c-1	UBERON:0006469	ENSG00000173372.17	C1QA	129.369467107843	0.0221729908311553	-0.121841755500735
Brain Putamen basal ganglia	UBERON:0001874	ENSG00000173372.17	C1QA	27.3000269291339	0.00467902713308216	-0.0362136846517484
Adipose Visceral Omentum	UBERON:0010414	ENSG00000173372.17	C1QA	310.42208407155	0.0532040996827243	-0.225176709823467
Nerve Tibial	UBERON:0001323	ENSG00000173372.17	C1QA	154.581079701493	0.0264940788542792	-0.138780918795758
