Adipose Subcutaneous	Adipose Visceral Omentum	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex BA24	Brain Caudate basal ganglia	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex BA9	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens basal ganglia	Brain Putamen basal ganglia	Brain Spinal cord cervical c-1	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV-transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ABC transporters	0.00642368380047897	0.0117000982448546	0.306063670993976	0.00290911603172827	0.00615939017468442	0.00238177913402168	0.00872832997633843	0.0150533780089895	0.0150484339488155	0.0209521030068265	0.0107262231139375	0.0109377470529422	0.0167618543453134	0.017297164429651	0.0210981845901446	0.0219594038484484	0.0138711933869264	0.0214796762916074	0.0310392946726246	0.0265802978003635	0.0190186650920125	0.00015496929820208	0.00284175337402571	0.0110787072238553	0.0220018667676702	0.00717842390505698	0.0199653005480313	0.00799949585819802	0.0050562204852641	0.00684062271196392	0.0265765803194876	0.0010174770664001	0.0032107793694526	0.016187634540275	0.0205692349274215	0.0176601848831987	0.00766517275493379	0.00356349234051185	0.00049448723169668	0.0247329852245197	0.00893157199954133	0.00178048561900967	0.0037565093907123	0.0152347765868637	0.00275128805738179	0.00254368147775857	0.0714120371398697	0.0102719182286393	0.00454149886663223	0.00494630257488899	0.0120934187491546	0.035846503030085	0.0113245680502666	0.00358036345434566
AGE-RAGE signaling pathway in diabetic complications	0.0255126727977299	0.024926281490469	0.0161129065502102	0.0323268355592057	0.0273942176143463	0.0229180338679589	0.0229915567525337	0.00490923261952251	0.00417946358781537	0.00513461537800644	0.00650973627515654	0.00601162935625467	0.00436266902203051	0.00512742938934096	0.00470604812279995	0.00699333442073668	0.00440730775672326	0.00431792188088156	0.0125985426803177	0.00738270667626558	0.0169278484181035	0.0395870838669259	0.105262365103603	0.0212614795146876	0.0226473182236238	0.0168555807276154	0.0161175822115301	0.015344162716568	0.0157640786367025	0.0151340502625916	0.0198952339824875	0.0087663258630096	0.00450392491994799	0.0113772377062396	0.0131672465150899	0.00596864527855106	0.0454132112801496	0.013772551095864	0.00559774571519521	0.0205588063916392	0.014916853502913	0.00488591639411157	0.0109998369189351	0.0171846503518998	0.0134677929296342	0.0149471988793902	0.027988286016954	0.057716954309405	0.0111992324007702	0.00737373190024959	0.0165720028828835	0.0208069501831046	0.0198801683616717	0.0793148047396472
AMPK signaling pathway	0.220540776049522	0.2195546820507	0.00373571813779642	0.00426522698716754	0.0298425249216452	0.00712971720739608	0.00550899718048215	0.000442272702497051	0.000117571757702739	0.000547196655779273	9.87631601688732e-05	0.000112342612658903	0.000121385922951208	0.000118423163889454	0.000892288242353776	0.00128818751449768	0.000162593393813946	8.03285658440976e-05	0.000329772305760199	0.000205437532151554	0.172424701037361	0.000607923157441059	5.94807282835293e-05	0.00252563690415178	0.00087371609233322	0.00955968670579543	0.00931702460599197	0.0117920801618711	0.00149869401440099	0.0114777434965566	0.00417862327459823	0.02791817477403	0.0519884816664556	0.000969751731826107	0.00302239319501965	0.00175943291606249	0.0190555087613046	0.00407849704830301	0.0199958988955674	0.0147244105376873	0.0014714120162544	0.00254137444846147	0.000681307576089142	0.00134868187353807	0.00694965280577943	0.0105620441460382	0.00922473056087391	0.0514351128778511	0.0072165419170759	0.00131881463757409	0.0294178901901201	0.00166964374450538	0.00467937610664354	0.00856135132937647
Acute myeloid leukemia	0.0258778652641352	0.0250094223762411	0.0170496975649078	0.0227241918606932	0.0234320404706493	0.0194389747946825	0.0231879755254761	0.00504779953888032	0.00475886839134613	0.00538587525408185	0.0135245391694879	0.014577133285753	0.00608968220916447	0.0061116457410976	0.00536462828199967	0.0060575979864791	0.00498401105300166	0.0045823172217028	0.0112540255045694	0.00704236511237465	0.0216076411098176	0.0188868259326918	0.0387077183752805	0.0219033098982918	0.0233270603743697	0.0181061312340802	0.016322543824271	0.0186752501759415	0.0168103367226768	0.0185584698745537	0.0258210554608335	0.00825437087848482	0.00498755014370556	0.0097403988992443	0.0120821401148649	0.0100639944493871	0.0395122712531924	0.0167756008921721	0.00842128639131465	0.0257473959626157	0.0189825292422524	0.00622710020763	0.0127082642530182	0.0209159314527368	0.0188433594403052	0.0200033376150102	0.0223424760105258	0.0530028802929705	0.0138759202756426	0.0127292834779516	0.0230389396163678	0.0244677733070523	0.0213555403851231	0.105694655848901
Adherens junction	0.0123912572420973	0.0133290247623355	0.010227523857173	0.00849826975062229	0.0131414482360572	0.00449762822128887	0.0110701703766682	0.00301210698932547	0.00207907308535185	0.00252390884385383	0.00249207471194689	0.00243453917512653	0.00215317491112638	0.00217328654691256	0.00289446099399014	0.00375825414309827	0.00226392572787582	0.00199671887429405	0.00908208448954777	0.00477401539747362	0.00878069483912998	0.000241203298289511	0.174742974897828	0.00758613499249416	0.00638713201801382	0.00570585309674088	0.0121358746906883	0.00479011988250392	0.0079146095786668	0.00492037636760254	0.0101986669908991	0.00264688077874296	0.0016769245264567	0.00746639102753103	0.00744320885380405	0.00595160481648524	0.0407631896948262	0.010145521274415	0.000960842939190229	0.00937019719708271	0.00319313499187815	0.00365920703768502	0.00967068200945418	0.0118483927526315	0.00793814970081564	0.00758370003215753	0.0468542258735808	0.146735533945512	0.00782669739587318	0.00360585413279534	0.0130816264613318	0.00474554819472788	0.00780916584499555	0.280826733529005
Adipocytokine signaling pathway	0.0559982684303063	0.0711131303441388	0.0162228408626093	0.0225005848770665	0.0263262641447245	0.0206841043455111	0.0222842158035229	0.00362264072593296	0.00357923558175891	0.00412468176191384	0.00805963847586039	0.00898736356764022	0.00479054749486336	0.00456682418933451	0.00391266918639679	0.00433734854054977	0.0036319103361163	0.00360979359001157	0.00658867084507536	0.00481896999309447	0.0483326077810313	0.0186804434233779	0.0253381134304357	0.019895729583413	0.0204701761775918	0.0218837820235509	0.0180769075891392	0.0212911411698245	0.0161520431404298	0.0207935575478341	0.0329775794577097	0.0125642823091899	0.0120540351371287	0.010179951899133	0.0124397961845025	0.0108238967684892	0.0426923660758879	0.0150739160568161	0.0105894500298353	0.0286504987023362	0.0220219871972876	0.00572578255322146	0.0137952961560348	0.0193184888635347	0.0219197642496282	0.0215352523073258	0.0207892644463844	0.0337995004158115	0.0172893367704031	0.00888981304816275	0.0265883770944082	0.0227571402570084	0.0219102156172984	0.0249398034394063
Adrenergic signaling in cardiomyocytes	0.0313870785301026	0.0265667658704739	0.0123526763659036	0.0348388421885645	0.0296402975639326	0.0319252819072128	0.0218401852452136	0.0108893939258461	0.00987754082434225	0.00924141067179238	0.00681428236358808	0.00768542730736201	0.0105881937962148	0.0104864718600027	0.00965683393273009	0.0125478416200074	0.0096885755670993	0.00825772769267995	0.0247992305792417	0.0129202457882938	0.0244791972160568	0.0307150502080709	0.0270953262418666	0.0221094781959762	0.0271521764824852	0.0230917743301412	0.0147374396554806	0.0228369605948161	0.0102076926680316	0.0222795149722769	0.0269425662808495	0.00928396446402594	0.00692345577261345	0.0090839686585122	0.0120510932499714	0.0067190314946386	0.0387788724017866	0.00969396118571215	0.00409090700369427	0.031915822575774	0.0220221902214821	0.0029028557613079	0.0186893418594158	0.017599904722883	0.0106294250468556	0.0120149525776535	0.0161442427679627	0.032110698425011	0.0101914635803261	0.0125446293943334	0.0206060205901347	0.0273122250949164	0.0204930331944087	0.0645464595099252
African trypanosomiasis	0.0154301903380279	0.0416599245433907	0.0175901102200887	0.0204529522821761	0.0226528599675068	0.0100205271413863	0.0168976990195389	0.00336305478171322	0.00221933524796841	0.00433517513002179	0.00109104807054308	0.0011017925774424	0.00224984744579842	0.00237125804814652	0.00308329797888471	0.00389292043559073	0.00281844954473594	0.0030441577051976	0.0106921508231542	0.00509771739524827	0.0126686717780213	0.0140010531432854	0.0647205085908498	0.038898513352226	0.0152802132505714	0.0113394219652685	0.0211980846958258	0.0115712769378007	0.0358646426168515	0.0104818120519173	0.0237132650446829	0.00785608504243745	0.00277992141785614	0.0123342102419456	0.00823649277492229	0.00896955885803382	0.0511992795431191	0.0115124573143733	0.00207917291241698	0.0184828050191159	0.0191002104985016	0.00315060620121457	0.0146963713397266	0.0151297229219173	0.0379297138874431	0.0372481920917071	0.0272925111987515	0.118088457040201	0.0113465473634446	0.0132563847289189	0.0155999019916095	0.0151317125770198	0.0409902189592524	0.0577875339522098
Alcoholic liver disease	0.0220228246185054	0.0342947516033842	0.0500128414980511	0.0238593155324097	0.0266898808067579	0.0161778436079427	0.0223863245646837	0.00536889640940892	0.0039136832020164	0.00539844826693217	0.0049483761344762	0.00550219891408964	0.00440068040503872	0.00442705652117966	0.00449933403395623	0.00553649739048326	0.00460444220549193	0.00416062134420913	0.0102370550962396	0.00706670907214557	0.0206506182136344	0.0135821990893717	0.0191242578257474	0.0166367929074465	0.0189163460129295	0.0198023941578992	0.0188691388042193	0.0172756083838814	0.0118048443849139	0.0193498824720213	0.0286973572837666	0.00929444696972792	0.00456950885458741	0.0156895475146969	0.0096281221770695	0.0633312318256498	0.0475049507472612	0.0155501682351143	0.00411275482860694	0.0278289106510892	0.0318783619479293	0.00633461014437606	0.0151972966543691	0.017134364501922	0.0124014661999489	0.0123347164239045	0.0293386266955988	0.0919786309892561	0.0126625217434148	0.00719054019186928	0.0297961663900958	0.0205624915477622	0.0160614637469066	0.02940188025561
Alcoholism	0.0313870785301026	0.0265667658704739	0.0123526763659036	0.0348388421885645	0.0296402975639326	0.0319252819072128	0.0218401852452136	0.0108893939258461	0.00987754082434225	0.00924141067179238	0.00681428236358808	0.00768542730736201	0.0105881937962148	0.0104864718600027	0.00965683393273009	0.0125478416200074	0.0096885755670993	0.00825772769267995	0.0247992305792417	0.0129202457882938	0.0244791972160568	0.0307150502080709	0.0270953262418666	0.0221094781959762	0.0271521764824852	0.0230917743301412	0.0147374396554806	0.0228369605948161	0.0102076926680316	0.0222795149722769	0.0269425662808495	0.00928396446402594	0.00692345577261345	0.0090839686585122	0.0120510932499714	0.0067190314946386	0.0387788724017866	0.00969396118571215	0.00409090700369427	0.031915822575774	0.0220221902214821	0.0029028557613079	0.0186893418594158	0.017599904722883	0.0106294250468556	0.0120149525776535	0.0161442427679627	0.032110698425011	0.0101914635803261	0.0125446293943334	0.0206060205901347	0.0273122250949164	0.0204930331944087	0.0645464595099252
