pathway	name	geneIDs	count	ratio	M	BgRatio	pvalue	p.adjust	category	subcategory	signif
00562	Inositol phosphate metabolism	3635,5728	2	0.0240963855421687	78	78/9418	0.517148946160156	0.846984100797737	Metabolism	Carbohydrate metabolism	
00564	Glycerophospholipid metabolism	5321	1	0.0120481927710843	104	104/9418	0.903243840644863	0.999999999982711	Metabolism	Lipid metabolism	
00565	Ether lipid metabolism	5321	1	0.0120481927710843	51	51/9418	0.680834817884904	0.979206758953823	Metabolism	Lipid metabolism	
00590	Arachidonic acid metabolism	240,246,5321	3	0.036144578313253	63	63/9418	0.162250639813178	0.370858605287264	Metabolism	Lipid metabolism	
00591	Linoleic acid metabolism	246,5321	2	0.0240963855421687	30	30/9418	0.141388121884096	0.337860382312385	Metabolism	Lipid metabolism	
00592	alpha-Linolenic acid metabolism	5321	1	0.0120481927710843	26	26/9418	0.440905187060054	0.756232410099014	Metabolism	Lipid metabolism	
00860	Porphyrin metabolism	3162	1	0.0120481927710843	46	46/9418	0.642922877598912	0.956157121353522	Metabolism	Metabolism of cofactors and vitamins	
01100	Metabolic pathways	240,246,3162,3635,5321,5728	6	0.072289156626506	1589	1589/9418	0.999999999982711	0.999999999982711	Metabolism	Global and overview maps	
01521	EGFR tyrosine kinase inhibitor resistance	2621,558,5728	3	0.036144578313253	80	80/9418	0.259507325863817	0.528903367848537	Human Diseases	Drug resistance: antineoplastic	
01522	Endocrine resistance	1026	1	0.0120481927710843	99	99/9418	0.891680763708164	0.999999999982711	Human Diseases	Drug resistance: antineoplastic	
01523	Antifolate resistance	3551,4790,8517	3	0.036144578313253	30	30/9418	0.027816453930203	0.0948495478275775	Human Diseases	Drug resistance: antineoplastic	
01524	Platinum drug resistance	1026,355,356,841	4	0.0481927710843374	75	75/9418	0.0838136476433196	0.212733648307589	Human Diseases	Drug resistance: antineoplastic	
02010	ABC transporters	5243	1	0.0120481927710843	45	45/9418	0.63481899964371	0.956157121353522	Environmental Information Processing	Membrane transport	
03320	PPAR signaling pathway	948	1	0.0120481927710843	77	77/9418	0.822127550817605	0.999999999982711	Organismal Systems	Endocrine system	
04010	MAPK signaling pathway	1647,1843,355,3551,356,4775,4790,5321,5971,7040,7132,8517	12	0.144578313253012	300	300/9418	0.0340146739795502	0.108846956734561	Environmental Information Processing	Signal transduction	
04012	ErbB signaling pathway	1026,867	2	0.0240963855421687	86	86/9418	0.570076427373031	0.926374194481176	Environmental Information Processing	Signal transduction	
04014	Ras signaling pathway	3551,356,4790,5321,8517	5	0.0602409638554217	238	238/9418	0.608255608565102	0.956157121353522	Environmental Information Processing	Signal transduction	
04015	Rap1 signaling pathway	2771,3683,3684,3689	4	0.0481927710843374	212	212/9418	0.69348448858237	0.987977901542007	Environmental Information Processing	Signal transduction	
04020	Calcium signaling pathway	4773,4775	2	0.0240963855421687	254	254/9418	0.978066580178906	0.999999999982711	Environmental Information Processing	Signal transduction	
04022	cGMP-PKG signaling pathway	2771,4773,4775	3	0.036144578313253	166	166/9418	0.714523326336228	0.999999999982711	Environmental Information Processing	Signal transduction	
04024	cAMP signaling pathway	2771,4790,4792	3	0.036144578313253	226	226/9418	0.880449406850032	0.999999999982711	Environmental Information Processing	Signal transduction	
04060	Cytokine-cytokine receptor interaction	3459,3460,355,3557,356,3586,3587,3588,3606,7040,7132	11	0.132530120481928	298	298/9418	0.066099426110635	0.178554293909248	Environmental Information Processing	Signaling molecules and interaction	
04061	Viral protein interaction with cytokine and cytokine receptor	3586,3587,3588,3606,7132	5	0.0602409638554217	100	100/9418	0.0701985745361788	0.187196198763143	Environmental Information Processing	Signaling molecules and interaction	
04062	Chemokine signaling pathway	2771,3551,4067,4790,4792,653361,6772,7454,8517	9	0.108433734939759	193	193/9418	0.0272562258039361	0.0944882494536451	Organismal Systems	Immune system	
04064	NF-kappa B signaling pathway	1540,1647,3551,4067,4790,4792,5971,695,7128,7132,8517	11	0.132530120481928	105	105/9418	1.89656861030685e-05	0.000187850605211346	Environmental Information Processing	Signal transduction	*
04066	HIF-1 signaling pathway	1026,1536,3162,3459,3460,4790	6	0.072289156626506	110	110/9418	0.0347817215953247	0.109615122603448	Environmental Information Processing	Signal transduction	
04068	FoxO signaling pathway	1026,1647,3551,356,3586,5728,6648,7040	8	0.0963855421686747	133	133/9418	0.00919527662415653	0.0375023046632266	Environmental Information Processing	Signal transduction	*
04070	Phosphatidylinositol signaling system	3635,5728	2	0.0240963855421687	98	98/9418	0.641388453688643	0.956157121353522	Environmental Information Processing	Signal transduction	
04071	Sphingolipid signaling pathway	2771,4790,5728,7132	4	0.0481927710843374	125	125/9418	0.298323580062463	0.563290175609639	Environmental Information Processing	Signal transduction	
04072	Phospholipase D signaling pathway	5321	1	0.0120481927710843	149	149/9418	0.965067124519547	0.999999999982711	Environmental Information Processing	Signal transduction	
04080	Neuroactive ligand-receptor interaction	2358	1	0.0120481927710843	371	371/9418	0.999787079432827	0.999999999982711	Environmental Information Processing	Signaling molecules and interaction	
04081	Hormone signaling	2771	1	0.0120481927710843	219	219/9418	0.992909922157627	0.999999999982711	Environmental Information Processing	Signaling molecules and interaction	
04082	Neuroactive ligand signaling	2771	1	0.0120481927710843	199	199/9418	0.988803702982901	0.999999999982711	Environmental Information Processing	Signaling molecules and interaction	
04110	Cell cycle	1026,1647,7040	3	0.036144578313253	158	158/9418	0.682620096386078	0.979206758953823	Cellular Processes	Cell growth and death	
04115	p53 signaling pathway	1026,1647,355,5728,841	5	0.0602409638554217	75	75/9418	0.0248278236190837	0.0875285985215152	Cellular Processes	Cell growth and death	
04120	Ubiquitin mediated proteolysis	326,8651,867,9021	4	0.0481927710843374	142	142/9418	0.38375953995067	0.682239182134525	Genetic Information Processing	Folding, sorting and degradation	
04140	Autophagy - animal	5728	1	0.0120481927710843	169	169/9418	0.977823415884292	0.999999999982711	Cellular Processes	Transport and catabolism	
04141	Protein processing in endoplasmic reticulum	4780	1	0.0120481927710843	175	175/9418	0.980653225032671	0.999999999982711	Genetic Information Processing	Folding, sorting and degradation	
04142	Lysosome	6556	1	0.0120481927710843	250	250/9418	0.996514775658089	0.999999999982711	Cellular Processes	Transport and catabolism	
04144	Endocytosis	867	1	0.0120481927710843	250	250/9418	0.996514775658089	0.999999999982711	Cellular Processes	Transport and catabolism	
04145	Phagosome	1535,1536,3684,3689,4688,653361,91937,948	8	0.0963855421686747	259	259/9418	0.214187147106591	0.459287903073928	Cellular Processes	Transport and catabolism	
04146	Peroxisome	6648	1	0.0120481927710843	83	83/9418	0.844613491190417	0.999999999982711	Cellular Processes	Transport and catabolism	
04148	Efferocytosis	10461,23166,240,246,2621,3586,4035,4240,4773,4775,5175,558,5777,7040,712,713,714,834,91937,948	20	0.240963855421687	157	157/9418	2.06785681816683e-10	2.1505710908935e-08	Cellular Processes	Transport and catabolism	*
04150	mTOR signaling pathway	3551,5728,7132	3	0.036144578313253	158	158/9418	0.682620096386078	0.979206758953823	Environmental Information Processing	Signal transduction	
04151	PI3K-Akt signaling pathway	1026,3551,356,4790,5728,8517	6	0.072289156626506	362	362/9418	0.816699980770162	0.999999999982711	Environmental Information Processing	Signal transduction	
04152	AMPK signaling pathway	948	1	0.0120481927710843	122	122/9418	0.935588875780373	0.999999999982711	Environmental Information Processing	Signal transduction	
04210	Apoptosis	1647,355,3551,356,4790,4792,7132,841,8517	9	0.108433734939759	137	137/9418	0.00328954708992956	0.0159122277838453	Cellular Processes	Cell growth and death	*
04211	Longevity regulating pathway	4790,6648	2	0.0240963855421687	90	90/9418	0.594930535428956	0.95188885668633	Organismal Systems	Aging	
04213	Longevity regulating pathway - multiple species	6648	1	0.0120481927710843	62	62/9418	0.750723992834103	0.999999999982711	Organismal Systems	Aging	
04215	Apoptosis - multiple species	7132,841	2	0.0240963855421687	32	32/9418	0.156791079101969	0.362361605035661	Cellular Processes	Cell growth and death	
04216	Ferroptosis	1536,246,3162	3	0.036144578313253	42	42/9418	0.0650107627014538	0.178554293909248	Cellular Processes	Cell growth and death	
04217	Necroptosis	114548,1536,1540,246,29108,3459,3460,355,356,5321,6772,7128,7132,834,841	15	0.180722891566265	168	168/9418	4.29648118701862e-06	5.95778724599915e-05	Cellular Processes	Cell growth and death	*
04218	Cellular senescence	1026,1647,4773,4775,4790,5728,7040	7	0.0843373493975904	157	157/9418	0.0590905437237057	0.168367576637408	Cellular Processes	Cell growth and death	
04261	Adrenergic signaling in cardiomyocytes	2771	1	0.0120481927710843	154	154/9418	0.968815425847355	0.999999999982711	Organismal Systems	Circulatory system	
04270	Vascular smooth muscle contraction	5321	1	0.0120481927710843	134	134/9418	0.950914107819362	0.999999999982711	Organismal Systems	Circulatory system	
04310	Wnt signaling pathway	4773,4775	2	0.0240963855421687	178	178/9418	0.907867133829398	0.999999999982711	Environmental Information Processing	Signal transduction	
04350	TGF-beta signaling pathway	7040	1	0.0120481927710843	110	110/9418	0.915508871115265	0.999999999982711	Environmental Information Processing	Signal transduction	
04360	Axon guidance	2771,4773,4775	3	0.036144578313253	184	184/9418	0.77721365529154	0.999999999982711	Organismal Systems	Development and regeneration	
04370	VEGF signaling pathway	4773,5321	2	0.0240963855421687	60	60/9418	0.383669769176409	0.682239182134525	Environmental Information Processing	Signal transduction	
04371	Apelin signaling pathway	2771	1	0.0120481927710843	140	140/9418	0.957155336684082	0.999999999982711	Environmental Information Processing	Signal transduction	
04380	Osteoclast differentiation	1535,1540,3459,3460,3551,4688,4773,4790,4792,5971,653361,6772,695,7040,7132,8517,8651,9021	18	0.216867469879518	142	142/9418	1.88195320526649e-09	6.71923066583073e-08	Organismal Systems	Development and regeneration	*
04390	Hippo signaling pathway	3689,7040	2	0.0240963855421687	157	157/9418	0.865800811683111	0.999999999982711	Environmental Information Processing	Signal transduction	
04510	Focal adhesion	5728	1	0.0120481927710843	203	203/9418	0.989780619167669	0.999999999982711	Cellular Processes	Cellular community - eukaryotes	
04512	ECM-receptor interaction	948	1	0.0120481927710843	89	89/9418	0.864268775008683	0.999999999982711	Environmental Information Processing	Signaling molecules and interaction	
04514	Cell adhesion molecules	1493,3683,3684,3689,5175,6404	6	0.072289156626506	160	160/9418	0.142940930978317	0.337860382312385	Environmental Information Processing	Signaling molecules and interaction	
04517	IgSF CAM signaling	3635,3683,3684,3689,4067,5777	6	0.072289156626506	299	299/9418	0.652029940486082	0.956157121353522	Environmental Information Processing	Signaling molecules and interaction	
04518	Integrin signaling	3683,3684,3689,7040	4	0.0481927710843374	154	154/9418	0.443559394384999	0.756232410099014	Environmental Information Processing	Signaling molecules and interaction	
04519	Cadherin signaling	3551,4790,4792,8517	4	0.0481927710843374	404	404/9418	0.980527075581724	0.999999999982711	Environmental Information Processing	Signaling molecules and interaction	
04520	Adherens junction	5777,7454	2	0.0240963855421687	93	93/9418	0.612859439599742	0.956157121353522	Cellular Processes	Cellular community - eukaryotes	
04530	Tight junction	7454	1	0.0120481927710843	170	170/9418	0.9783221432598	0.999999999982711	Cellular Processes	Cellular community - eukaryotes	
04540	Gap junction	2771	1	0.0120481927710843	89	89/9418	0.864268775008683	0.999999999982711	Cellular Processes	Cellular community - eukaryotes	
04610	Complement and coagulation cascades	100293534,3684,3689,710,712,713,714,717,720,721	10	0.120481927710843	89	89/9418	2.47328738446754e-05	0.000233838079986022	Organismal Systems	Immune system	*
04611	Platelet activation	2771,4067,5321,695	4	0.0481927710843374	126	126/9418	0.303310094559036	0.563290175609639	Organismal Systems	Immune system	
04613	Neutrophil extracellular trap formation	1535,1536,2358,3683,3684,3689,4688,4790,6404,653361,834	11	0.132530120481928	195	195/9418	0.00394590774259459	0.0186533820559017	Organismal Systems	Immune system	*
04620	Toll-like receptor signaling pathway	3551,4790,4792,6772,841,8517	6	0.072289156626506	109	109/9418	0.0334758824122874	0.108796617839934	Organismal Systems	Immune system	
04621	NOD-like receptor signaling pathway	114548,1535,1536,29108,3551,3606,4210,4790,4792,64127,6772,7128,834,841,8517,9051	16	0.192771084337349	187	187/9418	3.56676486460518e-06	5.70682378336829e-05	Organismal Systems	Immune system	*
04622	RIG-I-like receptor signaling pathway	1540,3551,4790,4792,841,8517	6	0.072289156626506	72	72/9418	0.00502468470378062	0.0222369025188589	Organismal Systems	Immune system	*
04623	Cytosolic DNA-sensing pathway	114548,29108,3551,3606,4210,4790,4792,834,841,8517	10	0.120481927710843	83	83/9418	1.3274342992139e-05	0.000138053167118246	Organismal Systems	Immune system	*
04625	C-type lectin receptor signaling pathway	114548,1540,29108,3551,3586,4773,4775,4790,4792,5971,602,6772,834,841,8517	15	0.180722891566265	105	105/9418	8.46065396403273e-09	2.19977003064851e-07	Organismal Systems	Immune system	*
04630	JAK-STAT signaling pathway	1026,3459,3460,3586,3587,3588,5777,6772,8651,9021	10	0.120481927710843	168	168/9418	0.00404530607742007	0.0186983036467416	Environmental Information Processing	Signal transduction	*
04640	Hematopoietic cell lineage	3684,948	2	0.0240963855421687	100	100/9418	0.652330005716805	0.956157121353522	Organismal Systems	Immune system	
04650	Natural killer cell mediated cytotoxicity	3459,3460,355,356,3683,3689,4773,5777	8	0.0963855421686747	133	133/9418	0.00919527662415653	0.0375023046632266	Organismal Systems	Immune system	*
04657	IL-17 signaling pathway	3551,4790,4792,7128,841,8517	6	0.072289156626506	94	94/9418	0.0176039281420946	0.0665748555191943	Organismal Systems	Immune system	
04658	Th1 and Th2 cell differentiation	30009,3459,3460,3551,4773,4775,4790,4792,6772,8517	10	0.120481927710843	93	93/9418	3.63950534651459e-05	0.000302806844830014	Organismal Systems	Immune system	*
04659	Th17 cell differentiation	30009,3459,3460,3551,4773,4775,4790,4792,50943,6772,7040,8517	12	0.144578313253012	109	109/9418	4.68707091531319e-06	6.09319218990715e-05	Organismal Systems	Immune system	*
04660	T cell receptor signaling pathway	1493,3551,3586,4773,4775,4790,4792,5777,8517	9	0.108433734939759	122	122/9418	0.00148666489872204	0.00763726976965133	Organismal Systems	Immune system	*
04662	B cell receptor signaling pathway	3551,3635,4067,4773,4775,4790,4792,5777,695,8517	10	0.120481927710843	91	91/9418	3.00830314965591e-05	0.000260719606303512	Organismal Systems	Immune system	*
04664	Fc epsilon RI signaling pathway	240,3635,4067,5321,695	5	0.0602409638554217	69	69/9418	0.0179584600852586	0.0667028517452462	Organismal Systems	Immune system	
04666	Fc gamma R-mediated phagocytosis	3635,4067,5321,653361,7454	5	0.0602409638554217	98	98/9418	0.0655378850025425	0.178554293909248	Organismal Systems	Immune system	
04668	TNF signaling pathway	1540,355,3551,4790,4792,602,64127,7128,7132,841,8517,9021	12	0.144578313253012	119	119/9418	1.16956354986328e-05	0.000131028200154296	Environmental Information Processing	Signal transduction	*
04670	Leukocyte transendothelial migration	1535,1536,2771,3683,3684,3689,4688,5175,653361	9	0.108433734939759	116	116/9418	0.00104096862842033	0.00555183268490845	Organismal Systems	Immune system	*
04672	Intestinal immune network for IgA production	3586,7040	2	0.0240963855421687	50	50/9418	0.303028393180812	0.563290175609639	Organismal Systems	Immune system	
04713	Circadian entrainment	2771	1	0.0120481927710843	97	97/9418	0.886679383558729	0.999999999982711	Organismal Systems	Environmental adaptation	
04722	Neurotrophin signaling pathway	3551,356,4790,4792	4	0.0481927710843374	120	120/9418	0.27356726628901	0.547134532578019	Organismal Systems	Nervous system	
04723	Retrograde endocannabinoid signaling	2771	1	0.0120481927710843	149	149/9418	0.965067124519547	0.999999999982711	Organismal Systems	Nervous system	
04724	Glutamatergic synapse	2771,5321	2	0.0240963855421687	116	116/9418	0.730510804250728	0.999999999982711	Organismal Systems	Nervous system	
04725	Cholinergic synapse	2771	1	0.0120481927710843	115	115/9418	0.924538482736193	0.999999999982711	Organismal Systems	Nervous system	
04726	Serotonergic synapse	1843,240,246,2771,5321	5	0.0602409638554217	115	115/9418	0.110718753554925	0.270935302816759	Organismal Systems	Nervous system	
04727	GABAergic synapse	2771	1	0.0120481927710843	89	89/9418	0.864268775008683	0.999999999982711	Organismal Systems	Nervous system	
04728	Dopaminergic synapse	2771	1	0.0120481927710843	133	133/9418	0.949789301652834	0.999999999982711	Organismal Systems	Nervous system	
04730	Long-term depression	2771,4067,5321	3	0.036144578313253	60	60/9418	0.146407976051795	0.342166955267115	Organismal Systems	Nervous system	
