ENSG.ID	Gene.symbol	Label
ENSG00000115956	PLEK	top100
ENSG00000026751	SLAMF7	top100
ENSG00000254087	LYN	top100
ENSG00000154451	GBP5	top100
ENSG00000160255	ITGB2	top100
ENSG00000143119	CD53	top100
ENSG00000081237	PTPRC	top100
ENSG00000110324	IL10RA	top100
ENSG00000090382	LYZ	top100
ENSG00000180353	HCLS1	top100
ENSG00000116824	CD2	top100
ENSG00000078081	LAMP3	top100
ENSG00000123338	NCKAP1L	top100
ENSG00000142347	MYO1F	top100
ENSG00000185811	IKZF1	top100
ENSG00000162511	LAPTM5	top100
ENSG00000169403	PTAFR	top100
ENSG00000136167	LCP1	top100
ENSG00000173193	PARP14	top100
ENSG00000140030	GPR65	top100
ENSG00000025708	TYMP	top100
ENSG00000116701	NCF2	top100
ENSG00000104951	IL4I1	top100
ENSG00000043462	LCP2	top100
ENSG00000167207	NOD2	top100
ENSG00000060558	GNA15	top100
ENSG00000140511	HAPLN3	top100
ENSG00000102265	TIMP1	top100
ENSG00000172243	CLEC7A	top100
ENSG00000160791	CCR5	top100
ENSG00000101347	SAMHD1	top100
ENSG00000000938	FGR	top100
ENSG00000172183	ISG20	top100
ENSG00000149781	FERMT3	top100
ENSG00000140678	ITGAX	top100
ENSG00000117228	GBP1	top100
ENSG00000158869	FCER1G	top100
ENSG00000163565	IFI16	top100
ENSG00000090339	ICAM1	top100
ENSG00000100368	CSF2RB	top100
ENSG00000137462	TLR2	top100
ENSG00000167208	SNX20	top100
ENSG00000163840	DTX3L	top100
ENSG00000182866	LCK	top100
ENSG00000125347	IRF1	top100
ENSG00000186517	ARHGAP30	top100
ENSG00000159403	C1R	top100
ENSG00000142089	IFITM3	top100
ENSG00000105639	JAK3	top100
ENSG00000138964	PARVG	top100
ENSG00000179583	CIITA	top100
ENSG00000100055	CYTH4	top100
ENSG00000155926	SLA	top100
ENSG00000162493	PDPN	top100
ENSG00000117091	CD48	top100
ENSG00000136286	MYO1G	top100
ENSG00000145623	OSMR	top100
ENSG00000163739	CXCL1	top100
ENSG00000085265	FCN1	top100
ENSG00000138496	PARP9	top100
ENSG00000164691	TAGAP	top100
ENSG00000158714	SLAMF8	top100
ENSG00000028137	TNFRSF1B	top100
ENSG00000172578	KLHL6	top100
ENSG00000110876	SELPLG	top100
ENSG00000185862	EVI2B	top100
ENSG00000168685	IL7R	top100
ENSG00000155307	SAMSN1	top100
ENSG00000188404	SELL	top100
ENSG00000100453	GZMB	top100
ENSG00000168461	RAB31	top100
ENSG00000140749	IGSF6	top100
ENSG00000160593	JAML	top100
ENSG00000019582	CD74	top100
ENSG00000130775	THEMIS2	top100
ENSG00000141968	VAV1	top100
ENSG00000126353	CCR7	top100
ENSG00000141506	PIK3R5	top100
ENSG00000134516	DOCK2	top100
ENSG00000128815	WDFY4	top100
ENSG00000130429	ARPC1B	top100
ENSG00000128335	APOL2	top100
ENSG00000135899	SP110	top100
ENSG00000101224	CDC25B	top100
ENSG00000128284	APOL3	top100
ENSG00000162645	GBP2	top100
ENSG00000143110	C1orf162	top100
ENSG00000187474	FPR3	top100
ENSG00000161405	IKZF3	top100
ENSG00000147443	DOK2	top100
ENSG00000101336	HCK	top100
ENSG00000102879	CORO1A	top100
ENSG00000163600	ICOS	top100
ENSG00000117090	SLAMF1	top100
ENSG00000111335	OAS2	top100
ENSG00000132274	TRIM22	top100
ENSG00000121281	ADCY7	top100
ENSG00000169245	CXCL10	top100
ENSG00000077984	CST7	top100
ENSG00000239713	APOBEC3G	top100
ENSG00000102524	TNFSF13B	inflammatome
ENSG00000186818	LILRB4	inflammatome
ENSG00000127954	STEAP4	inflammatome
ENSG00000122122	SASH3	inflammatome
ENSG00000133106	EPSTI1	inflammatome
ENSG00000203747	FCGR3A	inflammatome
ENSG00000132965	ALOX5AP	inflammatome
ENSG00000100342	APOL1	inflammatome
ENSG00000100985	MMP9	inflammatome
ENSG00000132357	CARD6	inflammatome
ENSG00000156587	UBE2L6	inflammatome
ENSG00000105851	PIK3CG	inflammatome
ENSG00000185215	TNFAIP2	inflammatome
ENSG00000167286	CD3D	inflammatome
ENSG00000135046	ANXA1	inflammatome
ENSG00000026508	CD44	inflammatome
ENSG00000125735	TNFSF14	inflammatome
ENSG00000114013	CD86	inflammatome
ENSG00000104972	LILRB1	inflammatome
ENSG00000138755	CXCL9	inflammatome
ENSG00000170581	STAT2	inflammatome
ENSG00000140968	IRF8	inflammatome
ENSG00000003400	CASP10	inflammatome
ENSG00000101265	RASSF2	inflammatome
ENSG00000140853	NLRC5	inflammatome
ENSG00000009790	TRAF3IP3	inflammatome
ENSG00000198223	CSF2RA	inflammatome
ENSG00000110448	CD5	inflammatome
ENSG00000134460	IL2RA	inflammatome
ENSG00000115415	STAT1	inflammatome
ENSG00000005844	ITGAL	inflammatome
ENSG00000066294	CD84	inflammatome
ENSG00000123329	ARHGAP9	inflammatome
ENSG00000161921	CXCL16	inflammatome
ENSG00000147065	MSN	inflammatome
ENSG00000178562	CD28	inflammatome
ENSG00000163563	MNDA	inflammatome
ENSG00000131042	LILRB2	inflammatome
ENSG00000089327	FXYD5	inflammatome
ENSG00000131203	IDO1	inflammatome
ENSG00000101916	TLR8	inflammatome
ENSG00000137752	CASP1	inflammatome
ENSG00000169896	ITGAM	inflammatome
ENSG00000126264	HCST	inflammatome
ENSG00000170542	SERPINB9	inflammatome
ENSG00000126759	CFP	inflammatome
ENSG00000023902	PLEKHO1	inflammatome
ENSG00000082074	FYB1	inflammatome
ENSG00000110934	BIN2	inflammatome
ENSG00000011600	TYROBP	inflammatome
ENSG00000102962	CCL22	inflammatome
ENSG00000013725	CD6	inflammatome
ENSG00000105122	RASAL3	inflammatome
ENSG00000104814	MAP4K1	inflammatome
ENSG00000171051	FPR1	inflammatome
ENSG00000187498	COL4A1	inflammatome
ENSG00000115232	ITGA4	inflammatome
ENSG00000163191	S100A11	inflammatome
ENSG00000146094	DOK3	inflammatome
ENSG00000221963	APOL6	inflammatome
ENSG00000136250	AOAH	inflammatome
ENSG00000110446	SLC15A3	inflammatome
ENSG00000183486	MX2	inflammatome
ENSG00000103522	IL21R	inflammatome
ENSG00000058262	SEC61A1	inflammatome
ENSG00000160654	CD3G	inflammatome
ENSG00000156127	BATF	inflammatome
ENSG00000102096	PIM2	inflammatome
ENSG00000168394	TAP1	inflammatome
ENSG00000111348	ARHGDIB	inflammatome
ENSG00000176014	TUBB6	inflammatome
ENSG00000163220	S100A9	inflammatome
ENSG00000140464	PML	inflammatome
ENSG00000183484	GPR132	inflammatome
ENSG00000165168	CYBB	inflammatome
ENSG00000064886	CHI3L2	inflammatome
ENSG00000106952	TNFSF8	inflammatome
ENSG00000168404	MLKL	inflammatome
ENSG00000132334	PTPRE	inflammatome
ENSG00000167613	LAIR1	inflammatome
ENSG00000187688	TRPV2	inflammatome
ENSG00000137078	SIT1	inflammatome
ENSG00000143390	RFX5	inflammatome
ENSG00000049249	TNFRSF9	inflammatome
ENSG00000168918	INPP5D	inflammatome
ENSG00000122188	LAX1	inflammatome
ENSG00000185507	IRF7	inflammatome
ENSG00000171310	CHST11	inflammatome
ENSG00000163568	AIM2	inflammatome
ENSG00000169442	CD52	inflammatome
ENSG00000108950	FAM20A	inflammatome
ENSG00000167851	CD300A	inflammatome
ENSG00000122862	SRGN	inflammatome
ENSG00000168421	RHOH	inflammatome
ENSG00000171860	C3AR1	inflammatome
ENSG00000168071	CCDC88B	inflammatome
ENSG00000177409	SAMD9L	inflammatome
ENSG00000175567	UCP2	inflammatome
ENSG00000127084	FGD3	inflammatome
ENSG00000127507	ADGRE2	inflammatome
ENSG00000172215	CXCR6	inflammatome
ENSG00000113263	ITK	inflammatome
ENSG00000186810	CXCR3	inflammatome
ENSG00000184922	FMNL1	inflammatome
ENSG00000086730	LAT2	inflammatome
ENSG00000182326	C1S	inflammatome
ENSG00000185905	C16orf54	inflammatome
ENSG00000172724	CCL19	inflammatome
ENSG00000129667	RHBDF2	inflammatome
ENSG00000157601	MX1	inflammatome
ENSG00000121966	CXCR4	inflammatome
ENSG00000070190	DAPP1	inflammatome
ENSG00000151651	ADAM8	inflammatome
ENSG00000121807	CCR2	inflammatome
ENSG00000108691	CCL2	inflammatome
ENSG00000041982	TNC	inflammatome
ENSG00000185404	SP140L	inflammatome
ENSG00000140379	BCL2A1	inflammatome
ENSG00000104894	CD37	inflammatome
ENSG00000135077	HAVCR2	inflammatome
ENSG00000143851	PTPN7	inflammatome
ENSG00000198821	CD247	inflammatome
ENSG00000171608	PIK3CD	inflammatome
ENSG00000015285	WAS	inflammatome
ENSG00000164430	CGAS	inflammatome
ENSG00000171848	RRM2	inflammatome
ENSG00000198959	TGM2	inflammatome
ENSG00000163131	CTSS	inflammatome
ENSG00000128340	RAC2	inflammatome
ENSG00000123609	NMI	inflammatome
ENSG00000135074	ADAM19	inflammatome
ENSG00000125910	S1PR4	inflammatome
ENSG00000027869	SH2D2A	inflammatome
ENSG00000071246	VASH1	inflammatome
ENSG00000020633	RUNX3	inflammatome
ENSG00000173369	C1QB	inflammatome
ENSG00000134061	CD180	inflammatome
ENSG00000143226	FCGR2A	inflammatome
ENSG00000241839	PLEKHO2	inflammatome
ENSG00000138180	CEP55	inflammatome
ENSG00000174125	TLR1	inflammatome
ENSG00000126709	IFI6	inflammatome
ENSG00000163219	ARHGAP25	inflammatome
ENSG00000089012	SIRPG	inflammatome
ENSG00000119535	CSF3R	inflammatome
ENSG00000126882	FAM78A	inflammatome
ENSG00000139278	GLIPR1	inflammatome
ENSG00000181847	TIGIT	inflammatome
ENSG00000136689	IL1RN	inflammatome
ENSG00000124201	ZNFX1	inflammatome
ENSG00000169508	GPR183	inflammatome
ENSG00000124256	ZBP1	inflammatome
ENSG00000177575	CD163	inflammatome
ENSG00000175463	TBC1D10C	inflammatome
ENSG00000130303	BST2	inflammatome
ENSG00000115267	IFIH1	inflammatome
ENSG00000139193	CD27	inflammatome
ENSG00000013810	TACC3	inflammatome
ENSG00000124126	PREX1	inflammatome
ENSG00000163359	COL6A3	inflammatome
ENSG00000010671	BTK	inflammatome
ENSG00000172716	SLFN11	inflammatome
ENSG00000130508	PXDN	inflammatome
ENSG00000054967	RELT	inflammatome
ENSG00000160883	HK3	inflammatome
ENSG00000115935	WIPF1	inflammatome
ENSG00000066336	SPI1	inflammatome
ENSG00000077238	IL4R	inflammatome
ENSG00000119714	GPR68	inflammatome
ENSG00000175489	LRRC25	inflammatome
ENSG00000110719	TCIRG1	inflammatome
ENSG00000196743	GM2A	inflammatome
ENSG00000162711	NLRP3	inflammatome
ENSG00000132514	CLEC10A	inflammatome
